"star1","star2","star3","star4","star5"
"apple_bee","gorgeous","sock","portobello","splurge"
"rave","nutella","dream","splurge","not_love"
"shrugged","bizarre","wait_minute","francisco","adobe"
"finally_arrived","blonde","decent_amount","spam","caribbean"
"skimpy","code","answered","corporate","cottage"
"losing","rid","sous","not_so_mething","industry"
"beer_selection","vacation","soup_base","forgotten","loyal"
"desserts","barely_warm","unimpressed","driver","complaining"
"blamed","gristle","supposedly","comforting","granola"
"average_food","sending","varied","fail","grease"
"transaction","corrected","hated","candied","burrata"
"priority","assuming","jazz","ox","speedy"
"not_ask","bulgogi","al_dent","petite","fly"
"creamy","meats","subtle","pretty_fast","shogun"
"sigh","insult","spice_level","replaced","credit"
"injury","not_horrible","not_mean","decent_food","study"
"saving_grace","hassle","debit","pecker","wooden"
"not_matter","practice","staffed","diego","beer_list"
"slowest","loudly","pretty_empty","hmm","exotic"
"packet","chewing","drizzled","bold","candied"
"skills","meaty","special_occasion","not_amazing","mule"
"tipping","reply","comfort","nm","rabbit"
"trap","not_saying","uh","lychee","celebrated"
"brew","fifteen","divine","shout","breakfast_lunch"
"mike","caramelized","inattentive","lotus","respect"
"insulted","not_right","unpleasant","absolutely_loved","airy"
"expired","buttery","department","garlicky","soooooo"
"expressed","super_nice","sigh","multiple_time","white_pizza"
"overdone","tastier","offerings","real_deal","regulars"
"classy","not_plan","vegetarian_option","tomorrow","innovative"
"wasn","natural","gem","ranging","grocery_store"
"audacity","teeth","persian","sampling","sampling"
"apparent","compliment","cottage","bison","service_food"
"organic","spotty","worth_checking","assorted","continued"
"tartar","waitress_din","wrote","sucked","huge_selection"
"bomb","indifferent","east_coast","extensive_menu","habanero"
"range","not_ready","blew","sexy","grapefruit"
"outstanding","sorely","address","wee","family_friendly"
"weather","ice_cold","nice_flavour","explore","macrons"
"rancid","floating","lieder","path","super_sweet"
"not_clean","rune","glazed","genuinely","ai"
"counted","virtually","macrons","language","warmly"
"lid","print","radish","plat","account"
"pulling","dirt","plantain","northern","confused"
"vanilla","not_a_bad","saving_grace","flavorful","european"
"mat","voucher","pretty_bad","panda","brewed"
"not_a_fan","apparent","whatsoever","dollars","tokyo"
"incorrectly","tait","error","bad_meal","enthusiastic"
"respond","carpet","respect","slow_service","fight"
"bothering","bit_pricey","account","carolina","handed"
"acting","deserve","delay","reliable","em_happy"
"mystery","maxis","increase","nice_decor","fireplace"
"proceeds","significantly","spicy_food","coma","churros"
"food_finally","fried_egg","exterior","beaten","jasmine"
"not_once","approximately","security","accompaniment","monster"
"hidden","not_the_worst","obnoxious","free_wife","sweetest"
"outback","advertise","replace","whim","upset"
"refunded","burden","not_hing","outdoors","energetic"
"letter","incident","wee","jasmine","thailand"
"modern","reaction","disappoint","gilbert","explore"
"mediterranean","http","colourful","not_recommend","parfait"
"fabulous","gilbert","reheated","hazelnut","humble"
"solution","yikes","locally","concern","northern"
"camera","downright","weekly","vegas_strip","campus"
"crawling","bad_night","deserve","addictive","worst"
"confirmation","fucking","flan","informative","remembers"
"safety","advised","runner","crappy","threw"
"inspection","packet","tonkotsu","mondays","marshmallow"
"ghetto","left_feeling","limp","sooner","ox"
"failure","pushing","arrives","pate","nice_selection"
"holy","quality_ha","tipped","absolutely_amazing","engaging"
"unbelievably","pear","italy","breakfast_spot","anthony"
"sticking","craft","accept","thrown","pecker"
"downright","argue","shopping_centre","rupee","paul"
"touching","unsatisfied","empty_table","cheerful","gobi"
"answering","communication","baklava","hook","inch"
"rushing","wasting","risk","vast","reduction"
"chris","not_match","tour","wisconsin","ryan"
"killed","relaxing","spam","root","assorted"
"freezing","advertising","acknowledge","unassuming","earned"
"remaining","smiled","twenty","stale","fruity"
"suddenly","harsh","array","hung","très"
"vomiting","baguette","staring","removed","wines"
"half_empty","stating","sparse","creation","overlooking"
"em_giving","laughing","drinker","handmade","denny"
"metre","italy","hamachi","downfall","devilled"
"unimpressed","repeatedly","not_disappoint","marshmallow","catered"
"impatient","dull","pleasure","pool_table","ref"
"exchange","ugly","eclectic","happy_hour_special","magnificent"
"adequate","allergic","infused","not_impressed","not_good"
"thirty","idiot","definite","european","explosion"
"listened","menu_ha","contrast","crabs","goody"
"improvement","pretty_empty","exotic","receipt","sophisticated"
"single_time","bar_tender","favourites","upbeat","nice_staff"
"gift_certificate","phenomenal","elegant","fireplace","justice"
"quoted","inform","yell","super_fast","music_playing"
"not_our","blown","gelato","people_watch","cannot_go"
"fusser","substance","tacky","vintage","mmmmm"
"mimosa","ricotta","not_disappointed","retro","unpretentious"
"not_allow","lieder","not_happy","edible","sourced"
"hawaiian","uncooked","green_chile","adore","complemented"
"kabob","questionable","not_available","pride","tastiest"
"hot_water","mocha","okay's","awesome_food","nick"
"quit","wtf","freezer","delis","heirloom"
"blueberry","skill","fryer","employees","pricier"
"barely_warm","kink","shout","blah","decent_price"
"tend","alas","mumbo","brilliant","sicilian"
"prompt","pinch","fig","huge_selection","grateful"
"factor","overheard","information","female","suppose"
"win","verdict","confusion","nicest","belgian"
"hide","chris","automatically","quail","plantain"
"bar_food","squash","food_tasted","chris","accompaniment"
"gnocchi","awkwardly","extra_star","franchise","turkish"
"minute_waiting","sliver","passion","belgian","not_see"
"yikes","not_ask","custom","bike","james"
"questionable","king_crab","novelty","angry","claim"
"purse","marginal","declined","takoyaki","soups"
"taking_care","unseasoned","delicate","broke","bester"
"cons","broulee","voucher","great_sushi","brian"
"forgetting","blowing","not_love","yuck","not_give"
"anymore","fuck","satisfactory","cannoli","sous"
"incredible","stared","pissed","not_necessarily","mason"
"bullshit","wiped","edinburgh","parfait","tiger"
"responsibility","slammed","bargain","reduction","bold"
"overheard","left_hungry","menu_option","cutting","not_great"
"fooled","excessive","loll","customize","pretty_awesome"
"pushing","laughed","welcomed","roe","adore"
"togo","personable","understanding","occupied","firefly"
"sesame","dust","code","hopping","married"
"mel","oxtail","not_saying","music_playing","reserved"
"inappropriate","not_made","outrageous","lovers","imported"
"drain","scratch","approximately","gracious","eventually"
"not_put","highly_recommend","chinese_buffet","cravings","not_what"
"unsanitary","ignoring","approached","croquet","freundlich"
"ruining","fusser","unremarkable","wasn","doughnut"
"not_accept","chic","lesson","love_coming","drool"
"passable","feedback","creamed","apologetic","ashley"
"proceed","not_impressive","henderson","freshest","hospitable"
"waters","kudos","not_outstanding","voice","comforting"
"not_enjoy","entertaining","earl","address","act"
"quote","clock","not_a_huge","bustling","contemporary"
"bad_night","refuse","stall","account","pros"
"what'd","imitation","nice_decor","spotty","ordinary"
"hyped","mike","receiving","wellington","path"
"stingy","verde","white_chocolate","kali","letting"
"teenager","loud_music","gorgonzola","alaska","super_friendly_staff"
"blank","dumb","miami","soft_shell_crab","foster"
"sea_bass","cigarette","extreme","criticism","goodies"
"emailed","ai","campus","silverware","childhood"
"decent_food","depressing","throwing","backup","assured"
"homeless","dealing","email","matt","alaska"
"art","sampled","server_din","aioli","dollars"
"memorable","peeve","spicier","accommodated","bursting"
"accused","presence","manner","tonkotsu","angry"
"treating","worn","haha","freundlich","appeared"
"seared","not_tasty","nicely_decorated","not_anything","baa"
"accepted","dime","rave_review","wont","lose"
"not_edible","seasonal","fresh_fruit","rounded","wisconsin"
"mcdonalds","hospitality","tons","saturdays","rival"
"desperate","not_say","unprofessional","thinner","overcooked"
"condition","rosemary","fruity","accept","glorious"
"joking","reached","promised","monster","fail"
"scratch","japan","charcuterie","crafted","daniel"
"plague","warrant","crepes","inconsistent","menus"
"spayed","everyday","conveniently_located","utensil","connoisseur"
"unsatisfied","red_velvet","vegas_strip","study","steep"
"not_and","super_friendly","ha_changed","family_friendly","maxis"
"crunch","bit_disappointed","amazingly","float","portobello"
"costumer","burger_king","bare","perfectly_seasoned","horrible"
"exceptional","hot_water","diego","sophisticated","expertly"
"woke","boxed","adobe","wrote","awesomeness"
"pros","grape","reliable","male","corporate"
"plaza","inquired","glasses","churros","not_understand"
"speaker","introduced","acted","debit","attempt"
"smoky","spiciness","towel","mason","sweet_tooth"
"interrupted","carney","hooters","sloppy","chilean"
"foul","heaven","ignore","blew","concern"
"admitted","top_notch","huh","gobi","not_a_huge"
"dealt","inexperienced","insisted","adobe","forgotten"
"notating","brag","provolone","addicting","cured"
"bruschetta","food_din","winterlicious","delighted","not_regret"
"utter","force","luke_warm","macaroon","tremendous"
"redeem","okay's","not_too_sweet","staffed","forte"
"hired","aha","explanation","chive","snuffle"
"certificate","freezing","rid","arrives","humour"
"intention","nightmare","swimming","olive_garden","vast"
"appalling","nonetheless","garlicky","not_love","savour"
"assistant","pay_extra","northern","fresh_fish","jeff"
"em_glad","dingy","crabs","greek_food","cons"
"cutlery","painfully","airy","screaming","thee"
"wide","pizza_hut","necessarily","connoisseur","provolone"
"severe","pulling","pasty","caribbean","stupid"
"elderly","report","significantly","pleasantly","thoughtful"
"includes","not_getting","decent_service","tone","gm"
"unlike","ache","introduced","pox","burgh"
"quick_bite","nickel","language","letting","rocked"
"gilbert","special_occasion","leftovers","complemented","inventive"
"substance","not_tell","eye_contact","tempting","snot"
"laid","legit","clue","nice_staff","acacia"
"not_made","stringy","not_crispy","joy","remarkable"
"slop","assortment","peeve","train","spin"
"justify","quinoa","smiling","nasty","themed"
"courteous","poor_customer_service","wave","bothered","dreaming"
"ordinary","yelled","jasmine","defiantly","charged"
"henderson","cancelled","brûlée","not_understand","talented"
"disgrace","quaint","explore","ugh","female"
"aggressive","charming","blast","cure","highlights"
"efficient","henderson","assured","brews","cleaning"
"bizarre","mystery","wendy","grapefruit","haha"
"espresso","nob","understood","benefit","saturdays"
"preferred","intimate","escargot","tokyo","contrast"
"patronize","pecan","papaya","boucher","vintage"
"refrigerator","contact","happy_hour_special","rabbit","panda"
"printed","honour","root","monkey","seattle"
"everyday","thirty","free_wife","enthusiastic","monkey"
"poke","printed","buttermilk","watered","drooling"
"johns","apologizing","food_wise","turkish","tab"
"liking","rang","killed","not_giving","rotation"
"beet","flaky","lotus","aussie","croquet"
"stain","ample","tuesdays","sporting","garlicky"
"offensive","drowned","letting","chatted","opt"
"percent","creamed","wasted","nicely_decorated","minimum"
"compelled","not_seasoned","delish","lamb_chop","credit_card"
"violation","torn","warrant","dimly","manner"
"backup","served_cold","unhappy","complained","free_wife"
"not_anything","beer_list","cell","straw","alike"
"furious","twist","unable","fennel","aloha"
"compensate","citrus","thinner","caviar","ethiopian"
"stink","enormous","distracted","ignore","bad_service"
"remotely","cutlery","doughnut","nice_people","not_a_huge_fan"
"michael","explaining","bold","moderate","noteworthy"
"octopus","bonus","pretty_fast","kidding","ownership"
"stall","misleading","pretty_disappointed","respect","khan"
"snotty","pretty_nice","decadent","treasure","skill"
"discus","decent_service","loving","petit","mona"
"misleading","outdated","not_believe","verdict","offerings"
"avoiding","unappealing","pecker","pastries","castro"
"goodbye","pretty_busy","shanghai","casserole","pate"
"herb","shock","shock","explaining","broke"
"visible","rustic","mama","mmmmm","not_skimp"
"not_receive","hide","bianco","twenty","licking"
"professionalism","beautifully","tasted_pretty","department","joel"
"not_quite","hearty","bison","nice_flavour","negative_review"
"kale","disappoint","endless","mule","extensive_menu"
"indifferent","fashioned","loud_music","iceberg","zen"
"checks","sodium","flower","heated","stout"
"not_bring","jazz","people_watch","pillow","cared"
"spoken","bach","pushed","tasteless","spam"
"food_looked","bouncer","hassle","stupid","happy_hour_special"
"ultimately","superb","alas","frill","kid_friendly"
"marinated","dump","moderate","macrons","escape"
"kicker","questioned","assorted","flavourless","roy"
"flavours","soap","soups","email","sublime"
"rune","watermelon","unacceptable","failed","amaze"
"forty","bourbon","unfriendly","gift_card","kevin"
"not_plan","disgusted","francisco","lunch_specials","juan"
"testing","behaviour","chive","brewing","beauty"
"served_cold","remake","replied","report","viva"
"not_speak","pretty_average","macaroon","conveniently_located","carnivore"
"imitation","false","politely","information","flair"
"sooooo","tangy","disorganized","soup_base","not_taste"
"introduced","gummy","sexy","miami","franchise"
"burden","thicker","al_pastor","caper","bar_tender"
"ignorant","shaved","marshmallow","addicted","fantastical"
"unseasoned","witnessed","report","continued","coolest"
"smelly","glove","garbage","mimosas","huge_portions"
"copy","positives","not_friendly","shift","yay"
"pretend","reasonable_price","toffee","rainy","coped"
"grit","comfy","apple_bee","banchan","vibrant"
"attempting","loss","food_din","chew","mary"
"not_about","losing","forgetting","security","eric"
"position","nice_decor","not_made","carnivore","information"
"confronted","mumbo","looked_pretty","ref","uncomfortable"
"not_deliver","killer","excessive","tiger","swish"
"physically","not_put","uninspired","frankly","not_too_bad"
"gristle","themed","computer","butcher","tonkotsu"
"stringy","bothering","rounded","devilled","not_being"
"beg","priority","vast","shine","cafeteria"
"winter","not_necessarily","teeth","tricky","understanding"
"sorely","michael","refused","cured","yr"
"virtually","grumpy","badly","stuttgart","sizes"
"reluctantly","condescending","not_ready","indoors","unforgettable"
"partially","bothwell","kidding","unbelievable","desk"
"mocha","craft_beer","sceptical","wines","twenty"
"walmart","persian","processed","authentic_mexican_food","not_busy"
"unapologetic","partially","bitternut_squash","beau","mondays"
"promising","artificial","lunch_specials","cheek","serrano"
"not_honor","rotten","blonde","accessible","officially"
"unhelpful","acknowledgement","cheerful","extraordinary","decently"
"rosario","empty_restaurant","outdated","oddly","hanger"
"headache","not_memorable","sizes","carbonate","unbeatable"
"boxed","negative_review","unexpected","understaffed","greets"
"resolve","needle","lychee","code","insisted"
"cannot_believe","fig","bizarre","expanded","petit"
"upsetting","bone_marrow","beau","malaysian","fez"
"claiming","lentil","petite","shoestring","shine"
"yucky","increase","spin","pretty_empty","carbonate"
"not_so_good","bottomless","pushing","tabouleh","ur"
"addressed","frustration","tummy","unpretentious","pillow"
"pay_extra","kicker","severely","bad_review","crappy"
"sliver","pasty","placing","canned","address"
"peach","cancel","bustling","flavors","code"
"rat","embarrassing","borderline","forced","not_least"
"outdated","failure","candied","assumed","shift"
"defensive","mousse","magic","snuffle","rotating"
"argument","trivia","mike","not_crazy","aioli"
"gum","remaining","pate","nosh","cellar"
"not_help","suddenly","fremont","layered","licked"
"doors","visible","portobello","baa","heartbeat"
"disrespect","tablespoon","spit","vary","not_a_bad"
"disgust","locally","recommendations","soup_salad","broken"
"abysmal","welcomed","ox","shock","pleasantly"
"unwelcome","not_cut","harsh","firefly","hesitation"
"absurd","sooooo","wellington","shogun","blackberry"
"almond","chocolate_chip","hopping","issues","chive"
"prove","piping_hot","path","tony","appetizing"
"food_din","created","belgian","bad_service","piano"
"created","ur","heavenly","breakfast_lunch","worth_checking"
"balance","delight","spilled","not_particularly","treats"
"dingy","not_help","duty","flair","apricot"
"harsh","mat","not_work","ciabatta","cure"
"cocktails","listened","downfall","intrigued","expanded"
"blew","carpaccio","call_ahead","tamarind","promised"
"carney","saucy","earned","exquisite","thicker"
"hygiene","extraordinary","takoyaki","place's","guide"
"whelmed","fas","cash_register","microwave","al_dent"
"welcomed","tucked","visitor","inventive","not_matter"
"sudden","human","message","lame","chew"
"not_authentic","advise","pizza_hut","manner","failed"
"acknowledging","not_bring","promising","lamp","brewing"
"waved","relax","contemporary","garnished","retro"
"occurred","hum","rabbit","deals","region"
"survive","cold_food","soft_shell_crab","yr","soaked"
"prosciutto","grossed","not_getting","taps","bike"
"empty_tables","precooked","delicious_food","exceeded","crabs"
"unappealing","huge_portion","ugly","industry","security"
"shoved","status","dripping","warmly","的"
"observed","speaker","carolina","soho","happiness"
"amazed","mesh","greek_food","vibrant","artwork"
"judgement","comfit","kali","plump","hesitate"
"complaints","blew","plat","generic","food_arrived"
"carrying","distracted","wisconsin","menu_option","em_giving"
"ordeal","dissatisfied","frustrated","favorites","quirky"
"decline","paired","wilted","messed","pastor"
"weekly","counted","adorable","not_skimp","arrives"
"legato","decline","rupee","artwork","oscar"
"profit","statement","losing","richness","fountains"
"choke","headache","brewed","assured","gripe"
"handing","wooden","dunno","brice","lebanese"
"drowned","single_time","ur","proceeded","aussie"
"utensils","highly_recommended","feedback","comp","ami"
"steal","dream","extremely_slow","genius","siam"
"exist","compensate","complimented","dates","expand"
"rant","not_our","yikes","converted","special_occasions"
"inexcusable","avoided","fennel","not_offer","oozy"
"uneaten","east_coast","steal","sicilian","justin"
"reported","increased","not_ask","mona","caring"
"blown","pair","sodium","piano","screaming"
"pen","judgement","strangely","replace","andy"
"sincerely","abysmal","food_had","drenched","gift_card"
"smiling","terrific","print","innovative","spicier"
"liar","tipping","skill","overdone","plump"
"inexperienced","pairing","grapefruit","frozen_hot_chocolate","ignore"
"slapped","hospital","speedy","skill","not_believe"
"swallow","exchange","angeles","shanghai","homo"
"not_too_bad","brioche","remarkable","aloha","brews"
"hispanic","opt","freezing","glasses","spoiled"
"sprite","yr","monster","burned","hog"
"pretty_decent","comfort_food","penny","foster","leek"
"not_doing","smiling","extensive_menu","advertised","tamarind"
"italy","couch","pay_extra","not_so_good","marvellous"
"ringing","wowed","pride","earned","delightfully"
"brussels","loyal","dimly","ruin","executive"
"embarrassment","survive","bug","bare","fortunate"
"friendly_staff","stressed","irritated","super_sweet","sarah"
"advertisement","intention","replacement","notable_disappointed","not_seem"
"dull","arguing","drowned","mouth_watering","artisan"
"mandatory","excellent_service","picnic","favorite","worse"
"significantly","patiently","cured","skimpy","lingua"
"tour","handling","devoured","proud","people_watch"
"maple","flan","tasty_food","foils","robuchon"
"pair","people_watching","communication","clock","cannot_say"
"approx","bye","advised","ur","not_super"
"not_acceptable","yucky","customize","burrata","boom"
"dreadful","manger","allerdings","quirky","tait"
"stolen","novelty","sooooo","hassle","rake"
"useless","drowning","fireplace","tastier","chickpea"
"surly","al_dent","outback","praise","pretty_tasty"
"shocking","hamachi","intrigued","nap","bustling"
"causing","not_spectacular","banchan","not_overpowering","sweeter"
"bills","mediocrity","succulent","tasteful","tone"
"disappoint","relaxed","stare","highlights","ruin"
"careless","not_deliver","dull","warn","blossom"
"sarcastic","kraft","stout","hankering","not_so_much"
"not_write","genuinely","substance","underwhelming","menu_option"
"mistaken","neglected","practice","huge_portions","tabouleh"
"borderline","fresh_fruit","overlooking","kicked","pretty_fast"
"reheat","soup_base","parfait","compote","nailed"
"importantly","incorrectly","dirt","rotating","voice"
"not_tasty","treatment","freundlich","khan","ugh"
"inquire","amazingly","caribbean","humour","featuring"
"sever","skills","fresh_ingredient","quieter","roe"
"grumpy","keck","store_bought","steve","casserole"
"doctor","food_looked","attentive_service","food_tasted","complained"
"americanized","firstly","wipe","slammed","nome"
"managers","fooled","mail","feedback","pretty_darn"
"caramel","glaze","horchata","obsessed","bliss"
"place's","soupy","confirm","bravo","thrown"
"invisible","gift_certificate","kicked","remove","adam"
"marginal","mel","splurge","rocked","male"
"brushed","liver","pool_table","promised","ono"
"not_done","overcharged","not_crazy","serrano","awkward"
"notify","finally_arrived","communal","empanada","moscow"
"relax","perfectly_cooked","pastries","catered","outdoors"
"discussing","notified","lamb_chop","understanding","olive_garden"
"automatic","checks","absolutely_love","omg","collection"
"indication","lively","reasonable_prices","wagin","royalty"
"japan","indoor","watering","insisted","hung"
"tablespoon","crepes","remade","france","fucking"
"clerk","argued","fifteen","wagyu","eaves"
"horror","cont","mesh","dripping","not_bad"
"live_music","leftovers","ranging","winterlicious","cares"
"farm","diego","cheek","pancetta","accept"
"neglected","extremely_rude","retro","drool","florida"
"disrespected","arrogant","sampling","toilet","cutting"
"rectify","winner","boucher","wait_minute","awful"
"not_interested","passion","slammed","endpoint","brandon"
"coy","magic","not_actually","thursdays","eh"
"oddly","healthier","terrible_service","lebanese","pass"
"exciting","stall","impeccable","pushed","cheeses"
"gloves","not_attentive","pretty_damn","hospitality","tyros"
"chances","irritating","floating","staring","pancetta"
"messing","impatient","music_playing","fried_green","mmmm"
"flyer","weekends","explaining","jason","laughing"
"gummy","info","argue","leek","not_tried"
"aha","chinese_buffet","not_greasy","imported","rounded"
"curly","remotely","fun_atmosphere","zing","outs"
"laughable","resembled","desperate","communal","richness"
"decides","shops","advertise","angeles","detroit"
"precooked","fremont","feel_bad","expand","fishy"
"valid","delightful","chilly","zones","cravings"
"friendly_service","devoid","not_authentic","featuring","layered"
"mistakes","lustre","accommodated","spoiled","ranging"
"moist","vegetarian_option","mush","chickpea","scott"
"tooth","dunno","payment","fresh_ingredients","macron"
"inviting","taking_care","cigarette","not_bother","europe"
"discussion","depends","not_bother","deserve","brice"
"tony","testing","amazed","blossom","searched"
"lowest","minor","aioli","childhood","zones"
"not_her","exterior","imitation","regulars","nope"
"resembled","exotic","ethiopian","cares","pierogies"
"stained","bit_bland","clock","decent_amount","tucson"
"braised","penny","worn","condensed","sonora"
"tart","redeem","pun","not_enjoy","nicely_decorated"
"firstly","mail","claimed","wave","saucy"
"http","not_served","corrected","artisan","heated"
"nauseous","lid","info","stronger","deals"
"excellent_service","absent","questionable","yell","fleming"
"forgettable","bianco","vary","operated","nicole"
"cop","diverse","not_say","blame","historic"
"nickel","très","serendipity","boar","frill"
"okay's","gritty","hook","beauty","allergic"
"bulgogi","notating","soupy","peppery","vindaloo"
"multiple_times","lamb_chop","indoors","disgusting","orgasmic"
"assist","unbelievable","cardboard","magical","forced"
"visitor","not_once","freshest","not_fancy","dates"
"sanitation","courtesy","not_terribly","voucher","todd"
"argy","refrigerator","mason","earthy","maine"
"hiring","gripe","status","bus_boy","blonde"
"strip_mall","green_chile","quieter","goodies","understood"
"counting","not_authentic","hankering","collection","fried_green"
"officially","visitor","casserole","extreme","monthly"
"bourbon","bad_attitude","gilbert","somme","arcadia"
"pretty_empty","pleasure","pretty_awesome","bit_bland","foils"
"berry","subtle","sonic","oozy","lisa"
"meats","not_your","nightmare","not_there","nestled"
"blatantly","addressed","quail","ami","sinatra"
"smh","not_offered","not_completely","sparse","nutty"
"not_fully","not_and","assuming","vegetarian_options","desired"
"not_saying","al_pastor","extremely_friendly","accepted","juices"
"blend","polenta","embarrassed","extra_star","info"
"decent_service","pretend","attempted","rubbery","entertained"
"call_ahead","anymore","napkins","screw","food_tasted"
"fraud","complaints","awkwardly","unfortunate","hmm"
"untouched","strangely","whim","torn","bananas"
"kraft","marketing","distracting","fancier","caper"
"spill","kicked","vintage","halfway","jewel"
"lightly","importantly","caper","uh","tryst"
"proof","blaring","not_exceptional","sticking","treatment"
"pickled","satisfactory","loudly","diamond","mascarpone"
"inspector","boucher","inconsistency","nope","risk"
"unimpressive","horrid","advise","disappeared","bus_boy"
"quality_ha","not_ever","wagyu","toasty","cornish"
"not_crispy","washing","trap","nutty","overbearing"
"bothwell","weekly","caviar","granola","train"
"not_cut","not_until","flair","vindaloo","vegetarian_options"
"execution","spoken","mule","bar_tender","flowing"
"increase","hawaii","outdoors","yelling","teas"
"disbelief","www.yelp.com","piano","bit_disappointed","runny"
"robbed","carolina","screwed","bit_overpriced","proceeded"
"top_notch","mama","unappetizing","placing","spotless"
"uninspired","tummy","laughing","engaging","manger"
"snapped","balanced","ice_cold","hated","simplicity"
"fresh_food","sorbet","ownership","chandelier","lunch_specials"
"awkwardly","happier","innovative","alike","neapolitan"
"chill","ghetto","granola","mmm","morsel"
"compliment","utterly","dingy","whatsoever","pretty_quick"
"omg","half_empty","devilled","savour","improve"
"illegal","absurd","grumpy","not_huge","improvement"
"sparse","fairness","ripped","not_hot","sloppy"
"cauliflower","profit","advertising","ownership","eddie"
"not_helpful","incompetent","yay","wednesdays","salivating"
"not_anymore","bit_slow","joy","allergic","oasis"
"disinterested","bitch","european","entertained","entire_time"
"screamed","minuscule","reached","flowing","venison"
"cheated","quoted","left_feeling","not_overwhelming","lavender"
"depressing","warn","partially","licking","frankly"
"circumstance","earl","kid_friendly","unable","cabernet"
"stunned","doused","disaster","towel","ciabatta"
"drug","dispenser","bad_taste","pizza_hut","taking_care"
"not_until","winterlicious","carpet","nook","couscous"
"matt","not_matter","sending","porter","somme"
"struggling","not_actually","breakfast_spot","kink","mushy"
"arugula","untouched","hazelnut","region","baristas"
"not_actually","notary_favourite","overheard","not_getting","chilly"
"threatened","quit","presence","amazing_service","burst"
"enemy","not_cool","super_sweet","trash","urchin"
"wiping","taro","connoisseur","not_tried","southwester"
"drowning","gigantic","delectable","execution","kbps"
"lieder","surly","deliciously","david","americanized"
"tiramisu","what'd","cheers","swimming","execution"
"decorated","varied","brews","blackberry","removed"
"requesting","automatic","fancier","tacky","stylish"
"preference","francisco","white_pizza","bursting","ruffled"
"belief","cider","unimpressive","tastiest","gouda"
"worn","stuttgart","hospitality","advised","creates"
"substandard","rant","petit","entire_time","kelly"
"verify","gem","avoided","choir","chandelier"
"repeating","shrugged","not_put","kensington","sp"
"consumer","not_prepared","malaysian","obnoxious","rocking"
"jason","infused","tony","museum","sweetheart"
"pleasure","hangout","float","seattle","heritage"
"special_occasion","decent_amount","flagged","ha_changed","hopping"
"satisfying","papaya","scrumptious","explosion","eaters"
"remark","teenager","cure","glorious","pupusas"
"communicate","aisle","not_this","error","feedback"
"left_feeling","comfort","brag","apricot","detailed"
"disappear","cottage","sporting","hyped","donuts"
"pitiful","not_super","accessible","bookmarked","pretty_decent"
"disgustingly","drizzled","leek","hesitate","excellence"
"not_appreciate","soft_shell_crab","carbonate","stylish","human"
"responsible","flower","enthusiastic","freezing","replace"
"pasty","piss","crafted","snacks","wee"
"collect","acting","huge_selection","lager","cirque"
"not_so_mething","pistachio","complement","gratuity","practice"
"demeanour","tour","accompaniment","eras","chimichurri"
"curd","provolone","cared","curds","lamp"
"flies","drinker","rotation","couscous","plat"
"secret","miami","fried_green","poorly","fooled"
"demanding","not_charge","tradition","treats","dimly"
"emergency","portobello","tokyo","frustrating","not_overpowering"
"inexpensive","root","rant","chilean","transported"
"organization","minute_waiting","bouncer","beefy","edible"
"slight","not_taste_fresh","upbeat","approximately","pretty_damn"
"meantime","disinterested","em_happy","moscow","hosted"
"unwelcoming","offensive","warn","fez","colorado"
"2016","horchata","aussie","humble","hassle"
"sanitary","theory","packet","bianco","reliable"
"waving","gorgonzola","pulling","tipped","glasses"
"taker","radish","study","cosy","wasn"
"managing","looked_pretty","smiled","strike","not_recommend"
"painful","tolerable","rainy","amuse","not_fancy"
"laying","grainy","baa","processed","notary_favourite"
"depending","fast_service","retch","fryer","sweden"
"shout","attempting","tiger","norma","purée"
"dispenser","tasted_pretty","stronger","pimento","converted"
"blowing","amazed","overload","kid_friendly","acceptable"
"not_charge","joy","perfect_amount","awesome_service","flaming"
"alert","scattered","contact","wt","garnished"
"poop","exist","manger","clue","pimento"
"relaxing","insulting","pomegranate","charging","chart"
"not_served","drain","not_our","risk","heather"
"not_so_great","waved","nice_staff","expansive","honour"
"legit","forgetful","shoestring","grateful","jealous"
"zips","palatable","soup_salad","metre","advised"
"not_your","eave","foils","blonde","advise"
"sooner","adventurous","bar_tender","understood","sooooooo"
"angeles","avoiding","bike","monitors","signed"
"harassed","beg","lousy","ye","tricky"
"principle","not_include","waitress_din","sucks","wicked"
"operate","selections","dime","policy","confirm"
"not_prepared","humble","increased","spit","wednesdays"
"chemical","shopping_centre","nice_people","manger","report"
"shook","purse","incorrect","snag","force"
"craft","spicy_food","responded","not_nearly","fanatic"
"remainder","accepted","goodly","gouda","pool_table"
"shouting","horrible_experience","not_impressive","questionable","beau"
"shaved","not_receive","touched","acacia","brulee"
"apologizes","guard","comforting","pastor","amy"
"puke","joking","endpoint","southwester","norma"
"measly","unbelievably","habanero","lacklustre","condensed"
"flirting","plantain","creation","not_so_ggy","uh"
"not_attentive","not_clean","cravings","cared","sakai"
"genuinely","blank","wenig","scottish","quote"
"creative","touching","somme","pierogies","extreme"
"frozen_hot_chocolate","condition","nicest","confusion","sago"
"minor","staffing","importantly","not_mean","criticism"
"hangover","angeles","mona","delay","frequenting"
"assigned","nice_people","touristy","automatically","apologize"
"not_sit","annoyance","alaska","varies","silky"
"distracted","bison","james","turnip","peaceful"
"not_received","amok","taps","ontario","andrew"
